OBJECT_NAME,NORAD_CAT_ID,INCLINATION,ECCENTRICITY,RAAN,ARGUMENT_OF_PERIGEE,MEAN_ANOMALY,MEAN_MOTION,DRAG,LAUNCH_DATE,DECAY_DATE,ACTUAL_LIFETIME,LIFETIME_CLASS
THOR ABLESTAR DEB,546,67.14779663085938,0.001814599963836372,345.5455017089844,46.11439895629883,314.1535949707031,15.9744025,0.03698800131678581,1961-06-29,2014-11-05,53,3
THOR ABLESTAR DEB,547,66.81929779052734,0.00104010000359267,131.95370483398438,294.21868896484375,64.68360137939453,15.88106453,0.05251200124621391,1961-06-29,1989-11-20,28,3
THOR ABLESTAR DEB,550,66.9854965209961,0.002536900108680129,183.0095977783203,355.2969055175781,4.292699813842773,15.84736942,0.05302000045776367,1961-06-29,1991-02-02,30,3
THOR ABLESTAR DEB,551,66.73680114746094,0.0008591000223532319,217.64059448242188,221.54209899902344,139.98089599609375,16.34129435,0.0026418000925332308,1961-06-29,1990-02-16,29,3
THOR ABLESTAR DEB,556,67.08869934082031,0.0025106000248342752,288.6770935058594,293.30511474609375,66.17259979248047,16.00790199,0.034240998327732086,1961-06-29,1990-05-28,29,3
THOR ABLESTAR DEB,557,67.4916000366211,0.003953500185161829,251.4636993408203,114.50039672851562,245.9344024658203,15.65822052,0.0,1961-06-29,1967-02-14,6,2
SL-7 DEB,582,49.15639877319336,0.0018202000064775348,209.21240234375,12.213700294494629,347.9010009765625,16.06206392,0.0,1963-05-22,1965-05-12,2,1
SL-7 R/B,588,49.010501861572266,0.0033551999367773533,27.31450080871582,100.53109741210938,259.84429931640625,16.15552232,0.0,1963-05-22,1964-04-02,1,1
SCOUT X-3 R/B,603,89.8678970336914,0.0014678000006824732,207.1822052001953,261.7467956542969,98.1355972290039,16.43510562,0.000820250017568469,1963-06-16,2000-05-17,37,3
DELTA 1 R/B,605,58.13859939575195,0.0016138999490067363,183.94900512695312,149.00999450683594,211.1916046142578,16.22883153,0.0,1963-06-19,1978-12-23,15,2
DELTA 1 DEB,606,58.301700592041016,0.0003158999898005277,127.24320220947266,323.4388122558594,39.936798095703125,16.37183627,0.0006518299924209714,1963-06-19,1988-06-09,25,3
DELTA 1 DEB,607,58.04389953613281,0.00041470001451671124,271.9530944824219,193.4801025390625,166.63429260253906,16.28322217,0.0001804000057745725,1963-06-19,1980-02-01,17,2
SCOUT X-3 DEB,610,90.00260162353516,0.0006641999934799969,186.54420471191406,71.11959838867188,288.97369384765625,16.06447286,0.00982850044965744,1963-06-16,1991-11-15,28,3
SCOUT X-3 DEB,611,89.68910217285156,0.0014078000094741583,277.506103515625,12.600199699401855,347.5580139160156,16.02891183,0.0,1963-06-16,1971-03-01,8,2
THOR AGENA B DEB,615,82.27989959716797,0.001208700006827712,158.22689819335938,42.97629928588867,317.1181945800781,15.89799853,0.0,1963-06-29,1964-11-15,1,1
DELTA 1 R/B,625,32.513099670410156,0.0031608000863343477,129.1540069580078,277.9620056152344,82.13169860839844,16.43930641,0.0006927200010977685,1963-07-26,1989-07-09,26,3
THOR ABLESTAR DEB,646,67.08110046386719,0.0016740000573918223,63.02040100097656,102.68930053710938,257.6117858886719,16.03444089,0.0,1961-06-29,1972-06-07,11,2
THOR ABLESTAR DEB,647,66.62409973144531,0.001323999953456223,285.8424072265625,337.5282897949219,31.658700942993164,16.27696382,0.002734099980443716,1961-06-29,2001-04-30,40,3
THOR ABLESTAR DEB,650,66.77290344238281,0.0010800999589264393,174.21080017089844,343.3667907714844,17.310199737548828,16.28921581,0.0017558999825268984,1961-06-29,1982-05-27,21,3
THOR ABLESTAR DEB,651,66.80850219726562,0.0010852999985218048,149.8876953125,342.94769287109375,17.410900115966797,16.0753216,0.015104999765753746,1961-06-29,1991-01-05,30,3
THOR ABLESTAR DEB,654,67.25810241699219,0.005913900211453438,291.144287109375,299.5757141113281,59.95349884033203,15.62367783,0.0,1961-06-29,1968-07-03,7,2
THOR ABLESTAR DEB,661,66.87969970703125,0.0011997000547125936,66.07009887695312,38.52730178833008,321.7423095703125,15.98957632,0.040525998920202255,1961-06-29,2002-02-13,41,3
THOR ABLESTAR DEB,662,66.68450164794922,0.0012243000091984868,206.51910400390625,182.914306640625,177.44639587402344,15.90906124,0.027577999979257584,1961-06-29,1991-12-27,30,3
SL-5 DEB,684,58.577701568603516,0.002412599977105856,142.09280395507812,69.46759796142578,290.8106994628906,16.05862802,0.0,1963-11-01,1966-11-23,3,1
SL-5 R/B,685,58.959999084472656,0.006338300183415413,33.35639953613281,241.52479553222656,117.85790252685547,15.92659897,0.0,1963-11-01,1965-10-29,2,1
SL-5 DEB,686,59.79069900512695,0.006884600035846233,174.82699584960938,83.75499725341797,277.03509521484375,15.90561644,0.0,1963-11-01,1966-12-19,3,1
ATLAS CENTAUR 2 DEB,696,30.01740074157715,0.002522400114685297,338.4215087890625,254.48159790039062,105.27549743652344,16.10318287,0.010369000025093555,1963-11-27,1992-03-20,29,3
ATLAS CENTAUR 2 DEB,697,29.999099731445312,0.0046271998435258865,68.07029724121094,242.44000244140625,110.42269897460938,15.74219996,0.013499000109732151,1963-11-27,1989-06-24,26,3
ATLAS CENTAUR 2 DEB,699,30.408899307250977,0.001984500093385577,25.744600296020508,259.22650146484375,99.04329681396484,16.0105865,0.005887799896299839,1963-11-27,1985-03-04,22,3
SL-7 R/B,708,49.075401306152344,0.013560100458562374,235.08340454101562,94.65709686279297,266.8927917480469,15.90299887,0.0,1963-12-13,1964-03-06,1,1
SL-7 DEB,710,48.95600128173828,0.0166631992906332,177.65769958496094,184.20550537109375,175.4915008544922,15.76146629,0.0,1963-12-13,1964-01-01,1,1
SL-3 R/B,713,65.00849914550781,0.005150999873876572,143.97259521484375,52.51359939575195,307.9540100097656,16.22939973,0.0,1963-12-19,1964-01-25,1,1
